lambda,target_scm_mean,source_scm_mean,split_coverage_mean,split_coverage_sd,split_width_mean,split_width_sd,ewcp_coverage_mean,ewcp_coverage_sd,ewcp_width_mean,ewcp_width_sd,unbounded_mean,unbounded_sd,support_mean,ess_frac_mean,n_cal_rows_min,n_cal_rows_max,n_cal_rows_mean
0.0,0.31192230018135536,0.30913202040968524,0.8894826845094005,0.042552839929818696,19.559014666666673,2.526107646454555,0.8913506459039521,0.042927724057268565,19.789776218952383,2.9717560336285365,0.0,0.0,0.9182024467336224,0.7891130412583194,174,222,196.93333333333334
0.75,0.4075106861948942,0.27852000225772156,0.9073252699385876,0.06126817486389526,21.41129700280112,3.9674703363331796,0.8927234655019732,0.06874246711654847,20.499260870959997,4.260284409803138,0.0,0.0,0.9031320745118553,0.532580639273652,181,219,195.96666666666667
1.5,0.46635326530860255,0.2594622120079458,0.9003840198914961,0.04922324821027868,20.765307126319218,3.032443656336669,0.9123156022551245,0.04465657348828825,21.848981675677457,3.31027955919981,0.017885305812387637,0.0339615187508838,0.8656701337889677,0.26202575008522905,173,224,195.23333333333332
2.5,0.5053927328231719,0.24793153380393992,0.8749036335503473,0.051509071945861136,19.53710697130647,2.445078925441877,0.9187295162481892,0.059556200319670995,24.91205868727058,8.22184913683336,0.12729915798279506,0.09886756325661848,0.7502585957519737,0.13327066328682818,152,233,192.93333333333334
