setting,held_out_regime,target_designs,coverage_mean,coverage_sd,width_mean,width_sd,mae_mean,mae_sd,rmse_mean,rmse_sd,r2_mean,r2_sd,support_mean,support_sd,n_cal_rows_min,n_cal_rows_max,n_cal_rows_mean
All ages,No-SCM,88,0.36752873563218386,0.0887693864095921,19.24103699755801,2.194608708441465,10.980918768042672,0.5533406642141815,12.192885943260647,0.576599799951127,0.41803151088873686,0.05564778254144339,0.0818965517241379,0.0,185,217,199.13333333333333
All ages,Slag-only,124,0.7450099800399201,0.050670460918052995,20.21704365873015,1.977930907171542,7.570001714817214,0.3795943155962257,9.591974224344058,0.563896047422587,0.7510305381199454,0.029500043436540276,0.0,0.0,163,183,174.06666666666666
All ages,Fly-ash-only,95,0.7559274755927475,0.04941336933913579,20.20680071765272,2.2170359388540386,6.76954320851803,0.5080485376288295,8.516061938734138,0.5399802735639221,0.5924941221490414,0.05127022128256895,0.0418410041841004,0.0,183,215,197.93333333333334
All ages,Dual-SCM,120,0.7062222222222222,0.09589514637085805,19.652754388988413,3.6467889373376012,7.385857929807046,0.22226377662339883,9.13444963878391,0.2525712301699606,0.585226567647008,0.02290987933337757,0.026666666666666602,3.5287580338023136e-18,187,218,200.43333333333334
28-day only,No-SCM,79,0.33166666666666667,0.1453938369260952,20.62033525396826,2.244018662874625,11.79157067078789,0.8129610913679834,12.90855012975137,0.7681175034515647,0.33415660534467295,0.07944716904814865,0.037500000000000006,7.057516067604627e-18,85,93,86.93333333333334
28-day only,Slag-only,123,0.7479166666666667,0.07711997226481891,20.472153,3.9283759256562183,7.315115757816488,0.45963723806160967,9.564065358476343,0.6795887852944975,0.6103901867821901,0.05522959954943257,0.015625,0.0,74,78,74.76666666666667
28-day only,Fly-ash-only,95,0.5821052631578947,0.1049414321144355,21.599426359788374,3.8616177889656753,9.278210489506007,0.6595306390882754,10.859889079809028,0.7087331877833113,0.24438389396165303,0.10093086507028731,0.11578947368421048,1.4115032135209254e-17,81,89,83.03333333333333
28-day only,Dual-SCM,119,0.707103825136612,0.08623521823613813,22.684527575936052,3.4010764362611843,8.34734470899926,0.41518784564341404,10.305116602840018,0.4368352911996819,0.2780731888148656,0.0611993273907376,0.02459016393442619,1.0586274101406941e-17,75,81,76.6
