scenario,seed,coverage,mae,width
SCM-enrichment-0,20260901,0.879245283018868,5.131480631993792,21.763704126984123
SCM-enrichment-0,20260902,0.9714285714285714,4.104503044244872,30.06439238095244
SCM-enrichment-0,20260903,0.9163498098859315,5.635016461423031,26.766987142857104
SCM-enrichment-0,20260904,0.9198473282442748,4.420723351331663,21.315648571428554
SCM-enrichment-0,20260905,0.9083665338645418,4.601221296120879,22.00691797979796
SCM-enrichment-0,20260906,0.8991935483870968,4.69838135690139,19.72095023809524
SCM-enrichment-0,20260907,0.8947368421052632,4.324829894695948,19.368349761904753
SCM-enrichment-0,20260908,0.9068825910931174,4.670338388701943,20.667974285714294
SCM-enrichment-0,20260909,0.8448979591836735,5.217814227960248,20.16375190476191
SCM-enrichment-0,20260910,0.9585062240663901,4.617864544926029,27.12444471306472
SCM-enrichment-2.5,20260901,0.831275720164609,5.555584794372296,20.74427558441556
SCM-enrichment-2.5,20260902,0.9094650205761317,5.987065803894322,26.873205238095238
SCM-enrichment-2.5,20260903,0.9645669291338582,5.353933217495541,31.316912380952388
SCM-enrichment-2.5,20260904,0.9382716049382716,5.161756043726507,24.519958441558458
SCM-enrichment-2.5,20260905,0.8693877551020408,5.887049702108548,23.285313831168864
SCM-enrichment-2.5,20260906,0.8775510204081632,5.479137604352562,21.310323333333343
SCM-enrichment-2.5,20260907,0.9333333333333333,5.5020970391564425,27.31068809523815
SCM-enrichment-2.5,20260908,0.7860082304526749,5.923168582414385,20.698334365079376
SCM-enrichment-2.5,20260909,0.8630705394190872,5.002087154847228,18.717220735930724
SCM-enrichment-2.5,20260910,0.9467213114754098,4.945225338218249,24.420091746031737
Holdout-No-SCM,20260901,0.3922413793103448,11.097484027497888,19.71793261904763
Holdout-No-SCM,20260902,0.6508620689655172,10.957448534964799,25.768087142857127
Holdout-No-SCM,20260903,0.40948275862068967,11.603397609313578,22.132822380952405
Holdout-No-SCM,20260904,0.41810344827586204,10.787219874219408,19.00778809523812
Holdout-No-SCM,20260905,0.3577586206896552,10.931771766705518,18.902020476190472
Holdout-No-SCM,20260906,0.4353448275862069,11.37190286424902,22.26280595238096
Holdout-No-SCM,20260907,0.5301724137931034,10.293223696369484,20.952836349206358
Holdout-No-SCM,20260908,0.5431034482758621,11.295575287589568,23.444454761904723
Holdout-No-SCM,20260909,0.4482758620689655,11.322760323027072,22.103594761904787
Holdout-No-SCM,20260910,0.4051724137931034,11.08632534966351,19.654594761904747
Holdout-Slag-only,20260901,0.7365269461077845,8.052027243467611,22.48779349206346
Holdout-Slag-only,20260902,0.7934131736526946,8.191533202890753,26.104405238095225
Holdout-Slag-only,20260903,0.7155688622754491,8.423715042058737,21.29021999999999
Holdout-Slag-only,20260904,0.6706586826347305,7.592415724611382,18.568860714285734
Holdout-Slag-only,20260905,0.8023952095808383,7.811771224013013,22.78971952380951
Holdout-Slag-only,20260906,0.6526946107784432,8.168087171393143,18.171517619047606
Holdout-Slag-only,20260907,0.7754491017964071,8.079728287755156,24.69151976190477
Holdout-Slag-only,20260908,0.7544910179640718,7.695564850251208,20.819490476190495
Holdout-Slag-only,20260909,0.8233532934131736,7.756345304391217,24.235960952380935
Holdout-Slag-only,20260910,0.7964071856287425,7.668149408505667,23.04687714285717
Holdout-Fly-ash-only,20260901,0.9121338912133892,5.694966131699544,24.473432142857135
Holdout-Fly-ash-only,20260902,0.799163179916318,6.1574306322338765,19.667521428571433
Holdout-Fly-ash-only,20260903,0.8493723849372385,6.240982775625119,23.063983333333354
Holdout-Fly-ash-only,20260904,0.8661087866108786,5.434735020881026,22.79462158730159
Holdout-Fly-ash-only,20260905,0.8242677824267782,6.518076719632067,21.778269523809513
Holdout-Fly-ash-only,20260906,0.9414225941422594,6.08932832021651,29.88598325396825
Holdout-Fly-ash-only,20260907,0.803347280334728,6.568274078833766,22.402707142857167
Holdout-Fly-ash-only,20260908,0.7364016736401674,6.863056540849899,20.908518095238108
Holdout-Fly-ash-only,20260909,0.8577405857740585,6.594648748709449,24.136550238095268
Holdout-Fly-ash-only,20260910,0.7866108786610879,5.9360403901839645,18.98026809523806
Holdout-Dual-SCM,20260901,0.6,7.738495096373996,16.87476912698409
Holdout-Dual-SCM,20260902,0.7377777777777778,8.426361622703226,22.556434415584363
Holdout-Dual-SCM,20260903,0.8533333333333334,8.062808942199776,28.4592795238095
Holdout-Dual-SCM,20260904,0.7511111111111111,7.854950037053071,22.938249177489183
Holdout-Dual-SCM,20260905,0.7288888888888889,8.125978524066056,21.13015555555556
Holdout-Dual-SCM,20260906,0.8444444444444444,7.643600804056436,25.091172142857175
Holdout-Dual-SCM,20260907,0.6222222222222222,7.685696009587944,17.171685238095222
Holdout-Dual-SCM,20260908,0.72,7.439580226631394,19.85701857142854
Holdout-Dual-SCM,20260909,0.7111111111111111,8.307802588760623,21.58703166666666
Holdout-Dual-SCM,20260910,0.8177777777777778,8.110728529606195,23.72855809523808
